user_id,gender,occupation,age,zip_code,category_vector
65,M,35,12,55803,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
66,M,25,18,57706,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0"
67,F,50,5,60181,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
68,M,18,4,53706,"0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0"
69,F,25,1,2143,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
70,M,18,4,53703,"1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0"
71,M,25,14,95008,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
72,F,45,0,55122,"0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0"
73,M,18,4,53706,"0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0"
74,M,35,14,94530,"0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0"
75,F,1,10,1748,"0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0"
76,M,35,7,55413,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0"
77,M,18,4,15321,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
78,F,45,1,98029,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
79,F,45,0,98103,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0"
80,M,56,1,49327,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
81,F,25,0,60640,"0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0"
82,M,25,17,48380,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
83,F,25,2,94609,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
84,M,18,4,53140,"0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0"
85,M,18,4,94945,"0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0"
86,F,1,10,54467,"0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
87,M,25,14,48360,"0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
88,F,45,1,2476,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
89,F,56,9,85749,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0"
90,M,56,13,85749,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
91,M,35,7,7650,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0"
92,F,18,4,44243,"0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0"
93,M,25,17,95825,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
94,M,25,17,28601,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0"
95,M,45,0,98201,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
96,F,25,16,78028,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
97,F,35,3,66210,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0"
98,F,35,7,33547,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
99,F,1,10,19390,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0"
100,M,35,17,95401,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
101,F,18,3,33314,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
102,M,35,19,20871,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0"
103,M,45,7,92104,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
104,M,25,12,926,"0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0"
105,M,45,12,90277,"0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0"
106,F,35,11,79101,"0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0"
107,M,45,18,63129,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
108,M,25,12,30316,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
109,M,45,15,92028,"1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0"
110,M,25,2,90803,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0"
111,M,35,15,55416,"1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
112,M,25,16,97209,"0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0"
113,M,18,12,37032,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
114,F,25,2,83712,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
115,M,25,17,28083,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
116,M,25,17,55744,"0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
117,M,25,17,33314,"0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0"
118,M,35,17,22315,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
119,F,1,10,77515,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
120,M,25,11,27106,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
121,M,35,7,75229,"0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0"
122,F,18,4,94305,"0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0"
123,M,35,9,67208,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
124,M,56,7,91356,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
125,M,45,14,1701,"0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0"
126,M,18,9,98117,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
127,F,45,3,1770,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
128,M,56,6,37922,"0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0"
129,M,25,11,20164,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
130,M,35,17,50021,"0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0"
131,M,18,4,6520,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0"
132,M,25,17,99709,"0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0"
133,F,25,0,55071,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
134,M,25,0,66212,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
135,M,18,4,20006,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
136,M,18,2,21202,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
137,F,45,6,78758,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
138,M,18,20,22203,"1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
139,F,25,20,45409,"0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0"
140,F,35,1,55107,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
141,M,35,13,62035,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
142,M,25,7,10011,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
143,M,18,3,64043,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
144,M,25,17,29401,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
145,M,18,4,19081,"0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
146,F,35,20,10954,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
147,M,18,4,91360,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
148,M,50,17,57747,"0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0"
149,M,25,1,29205,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
150,M,35,7,98144,"0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0"
151,F,25,20,85013,"0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0"
152,M,18,4,48104,"1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0"
153,M,1,10,51537,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
154,M,50,20,94530,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0"
155,M,35,12,7470,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
156,F,45,7,14519,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0"
157,M,35,16,12866,"0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
158,M,56,7,28754,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
159,F,45,0,37922,"1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0"
160,M,35,7,13021,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0"
161,M,45,16,98107-2117,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
162,F,18,4,93117,"1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0"
163,M,18,4,85013,"0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0"
164,F,56,13,94566,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0"
165,M,18,16,98502,"0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0"
166,M,18,4,92802,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
167,F,25,11,10022,"1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0"
168,F,50,0,46970,"0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
169,M,25,7,55439,"1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0"
170,M,25,11,7002,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
171,F,50,17,55441,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0"
172,M,25,3,7661,"1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0"
173,M,25,0,45237,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
174,M,25,16,21203,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
175,F,25,2,95123,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
176,F,18,3,55016,"0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0"
177,M,50,1,54016,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
178,M,56,17,53705,"0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0"
179,M,25,0,2135,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
180,M,45,12,1603,"1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
181,M,18,17,33186,"0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0"
182,M,18,4,3052,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0"
183,F,45,1,55407,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
184,F,25,0,19001,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0"
185,M,45,0,14468,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
186,M,18,5,91767,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
187,F,45,1,94061,"0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0"
188,M,56,16,79930,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
189,M,18,0,60076,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0"
190,M,25,17,55125,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
191,M,18,4,4915,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
192,M,18,1,10977,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
193,F,45,15,44106,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
194,F,1,10,29146,"0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0"
195,M,25,12,10458,"0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0"
196,F,35,9,94587,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
197,M,18,14,10023,"1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0"
198,M,25,12,55108,"0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0"
199,M,18,4,83706,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0"
200,F,18,4,84321,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
201,F,35,2,55117,"0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0"
202,M,18,4,53706,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
203,F,18,4,53715,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
204,M,25,7,92123,"0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0"
205,M,35,12,97333,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
206,M,25,17,20194,"0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0"
207,M,25,12,94115,"1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
208,M,35,17,55432,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
209,M,35,1,90048,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1"
210,F,1,10,25801,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
211,M,45,17,90620,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
212,M,25,16,53714,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
213,F,18,4,1609,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
214,M,18,20,80218,"0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0"
215,M,35,14,92075,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
216,M,45,13,52761,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0"
217,M,18,4,22903,"0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0"
218,M,35,14,95822,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
219,F,25,4,55113,"0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0"
220,M,25,12,22903,"0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0"
221,F,25,0,94063,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
222,M,25,1,55116,"0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0"
223,M,25,17,28262,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0"
224,F,18,4,14850,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0"
225,M,25,7,11215,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
226,M,35,1,94518,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
227,M,35,20,90291,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0"
228,M,25,15,55455,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0"
229,M,18,10,4576,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
230,M,45,1,43210,"0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0"
231,M,25,3,55455,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
232,M,25,20,55408,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
233,F,45,20,37919-4204,"0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0"
234,M,35,7,39652,"0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0"
235,M,25,0,98153,"0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0"
236,M,25,5,55126,"0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
237,M,25,6,46835,"0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0"
238,F,50,7,90291,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0"
239,M,18,19,94618,"0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
240,M,50,17,55113,"0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0"
241,M,35,20,55121,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
242,F,18,4,53706,"0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
243,M,25,16,11576,"0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0"
244,M,50,7,19072,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
245,M,35,16,66046,"0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0"
246,F,18,4,60625,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
247,M,25,17,94404,"0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0"
248,M,18,17,72703,"0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
249,F,18,14,48126,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
250,M,35,16,11229,"0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0"
251,M,56,17,55105,"0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0"
252,M,25,12,94112,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
253,F,25,11,97370,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
254,M,35,17,49015,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0"
255,M,35,0,85310,"0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0"
256,M,45,16,55076,"0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0"
257,M,18,18,55113,"0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0"
258,M,25,7,55436,"1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0"
259,M,25,1,60615,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
260,M,18,19,98126,"0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
261,M,25,20,75801,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
262,F,25,1,68503,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
263,F,25,7,22304,"0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0"
264,M,35,0,20755,"0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1"
265,F,35,7,55116,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
266,M,35,11,75229,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
267,M,45,12,55001,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
268,F,18,12,29708,"0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0"
269,M,25,2,55408,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
270,M,50,14,55414,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
271,M,18,4,48202,"0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0"
272,M,18,0,80302,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
273,M,18,4,55427,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
274,M,18,4,55455,"0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0"
275,M,25,0,48162,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
276,M,45,16,1982,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
277,F,35,1,98126,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
278,M,45,18,60482,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0"
279,M,25,14,91214,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
280,M,50,7,19118,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
281,F,35,0,94117,"0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0"
282,M,25,17,94401,"1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
283,M,25,0,10003,"0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0"
284,M,25,12,91910,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0"
